Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2017-06-06,63.82255,63.8379,63.381252,63.47719,5678841.5,361072670.0,82.71,0.0,0,0,0
2017-06-07,63.46184,64.03744,63.40812,63.922318,4158206.8,265455950.0,83.29,0.0,0,0,0
2017-06-08,63.945343,63.945343,63.200897,63.76882,3861469.5,245719790.0,83.09,0.0,0,0,0
2017-06-09,63.76882,64.42501,63.54626,64.21395,6450294.0,413510800.0,83.67,0.0,0,0,0
2017-06-12,64.16023,64.80491,64.06046,64.78955,5276561.0,340997820.0,84.42,0.0,0,0,0
2017-06-13,64.75886,64.99831,64.486404,64.93537,3632081.0,235277440.0,84.61,0.0,0,0,0
2017-06-14,65.32678,65.46493,64.80491,65.02747,6928825.0,451148380.0,84.73,0.0,0,0,0
2017-06-15,64.75118,65.534,64.697464,65.35748,4895528.5,319645300.0,85.16,0.0,0,0,0
2017-06-16,65.4419,65.47644,64.90468,65.18864,5860832.5,381633730.0,84.94,0.0,0,0,0
2017-06-19,65.18864,65.22701,64.88165,65.19631,6374462.5,415082180.0,84.95,0.0,0,0,0
2017-06-20,65.23469,65.41888,64.54397,65.04282,4162088.2,270142820.0,84.75,0.0,0,0,0
2017-06-21,65.04282,65.22701,64.49792,64.91235,3335268.2,216414860.0,84.58,0.0,0,0,0
2017-06-22,64.82793,65.10422,64.566986,64.97375,8105686.5,526019200.0,84.66,0.0,0,0,0
2017-06-23,64.997765,65.57111,64.88937,65.19922,4851546.0,316580480.0,84.15,0.0,0,0,0
2017-06-26,65.36192,65.904205,65.36192,65.66409,8282667.0,543492600.0,84.75,0.0,0,0,0
2017-06-27,65.33868,65.72608,65.03651,65.07525,5066198.0,331073660.0,83.99,0.0,0,0,0
2017-06-28,65.25345,65.54012,65.02489,65.23021,3815571.0,249191140.0,84.19,0.0,0,0,0
2017-06-29,65.02101,65.02101,64.370186,64.486404,5144329.5,332489020.0,83.23,0.0,0,0,0
2017-06-30,64.664604,64.99002,64.300446,64.486404,5429735.5,350317860.0,83.23,0.0,0,0,0
2017-07-03,64.74208,65.4394,64.59487,65.307686,4090771.8,265923360.0,84.29,0.0,0,0,0
2017-07-05,65.423904,65.423904,64.26171,64.38567,6931095.5,448298050.0,83.1,0.0,0,0,0
2017-07-06,63.99053,64.28496,63.099514,63.176994,5395807.0,342919700.0,81.54,0.0,0,0,0
2017-07-07,63.33195,63.711605,63.091766,63.5334,4194449.0,266268900.0,82.0,0.0,0,0,0
2017-07-10,63.672863,63.734848,62.905815,62.9523,5374753.5,339731940.0,81.25,0.0,0,0,0
2017-07-11,62.998787,63.060772,62.43319,62.882572,4319265.0,271181470.0,81.16,0.0,0,0,0
2017-07-12,63.30871,64.02152,63.176994,63.65737,4116214.5,262291140.0,82.16,0.0,0,0,0
2017-07-13,63.703857,63.913048,63.5334,63.75809,3299131.5,210284720.0,82.29,0.0,0,0,0
2017-07-14,64.14549,64.486404,64.0835,64.370186,3326862.5,214162350.0,83.08,0.0,0,0,0
2017-07-17,64.370186,64.99002,64.246216,64.8893,3524394.2,228115180.0,83.75,0.0,0,0,0
